,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hermanus,ZA,-34.4187,19.2345,70.81,56,54,2.57,broken clouds
1,Loa Janan,ID,-0.583,117.095,75.7,96,97,0.16,overcast clouds
2,Yellowknife,CA,62.456,-114.3525,36.12,51,20,10.36,few clouds
3,Gilgit,PK,35.9221,74.3087,75.7,41,96,5.21,overcast clouds
4,Esperance,AU,-33.8667,121.9,63.1,64,100,14.38,overcast clouds
5,Norman Wells,CA,65.282,-126.8329,48.24,43,20,12.66,few clouds
6,Cape Town,ZA,-33.9258,18.4232,74.1,53,64,1.99,broken clouds
7,Tevaitoa,PF,-16.7833,-151.5,80.37,75,98,8.25,light rain
8,Tasiilaq,GL,65.6145,-37.6368,28.54,70,100,2.84,overcast clouds
9,Lebedinyy,RU,58.5167,125.5167,14.52,94,94,4.07,overcast clouds
10,Hithadhoo,MV,-0.6,73.0833,85.42,75,88,20.07,overcast clouds
11,Rincon,US,32.296,-81.2354,83.91,61,40,4.61,scattered clouds
12,Izvestkovyy,RU,48.9833,131.55,40.1,89,100,2.66,light rain
13,Albany,US,42.6001,-73.9662,55.62,81,100,5.01,overcast clouds
14,Poya,NC,-21.35,165.15,73.38,94,13,0.87,few clouds
15,Qaanaaq,GL,77.484,-69.3632,18.0,56,100,1.59,overcast clouds
16,Avarua,CK,-21.2078,-159.775,80.65,83,75,11.5,broken clouds
17,East London,ZA,-33.0153,27.9116,68.94,83,0,11.5,clear sky
18,Bawku,GH,11.0616,-0.2417,103.44,19,99,2.53,overcast clouds
19,Codrington,AU,-38.2667,141.9667,56.41,76,51,8.39,broken clouds
20,Bluff,NZ,-46.6,168.3333,46.8,81,46,8.66,scattered clouds
21,Biak,ID,-0.9131,122.8766,76.91,83,65,5.26,broken clouds
22,Upernavik,GL,72.7868,-56.1549,11.64,70,44,1.74,scattered clouds
23,Margate,GB,51.3813,1.3862,57.87,65,26,4.0,scattered clouds
24,Novyy Urengoy,RU,66.0833,76.6333,14.34,92,94,4.23,overcast clouds
